formula,pressure,Tc_list,Tc_mean,Tc_std,method,ref
CeH9,100.0,"[141.0, 130.0, 51.0, 73.0, 96.0, 62.0, 80.0, 102.0]",91.875,29.679275176459413,comput,"['[10.1063/1.5130583]', '[10.1063/1.5130583]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]']"
CeH9,120.0,"[68.0, 82.0, 99.0, 76.0, 87.0, 101.0]",85.5,11.786291472158096,comput,"['[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]', '[10.1103/PhysRevLett.127.117001]']"
CeH9,250.0,"[98.0, 81.0, 86.8]",88.60000000000001,7.0559667421740775,comput,"['[10.1063/1.5130583]', '[10.1063/1.5130583]', '[10.1103/PhysRevB.102.144524]']"
CeH9,128.81678419414268,['81.56176122931441'],81.56176122931441,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,130.28571428571428,['103.55289421157687'],103.55289421157688,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,131.96011477458018,['88.48773640661938'],88.48773640661938,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,135.93063761302756,['87.56427304964538'],87.56427304964538,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,139.0,['97.32534930139721'],97.3253493013972,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,143.0444910319124,['88.67242907801418'],88.67242907801418,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,146.85714285714283,['103.55289421157687'],103.55289421157688,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,147.92492535417065,['86.73315602836877'],86.73315602836877,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,152.0,['95.08982035928145'],95.08982035928145,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,155.14285714285714,['96.68662674650699'],96.686626746507,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,158.01667090189102,['79.89952718676122'],79.89952718676122,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,85.96822522923152,['53.76551418439715'],53.76551418439715,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,87.85714285714286,['53.09381237524951'],53.09381237524951,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,91.92400948690258,['80.545951536643'],80.545951536643,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,93.0,['52.93413173652698'],52.93413173652698,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,96.8871630349618,['97.16829196217495'],97.16829196217496,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,97.87979374457362,['84.05511229314419'],84.05511229314419,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,99.86505516379732,['87.84131205673759'],87.84131205673759,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,102.85714285714285,['73.21357285429144'],73.21357285429144,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,103.75285877644367,['80.63829787234042'],80.63829787234042,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,104.82820871185652,['88.67242907801418'],88.67242907801418,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,103.91829722804566,['95.32136524822695'],95.32136524822695,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,106.85714285714285,['93.33333333333334'],93.33333333333334,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,107.88882006649304,['86.64080969267138'],86.64080969267138,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,108.96417000190588,['77.68321513002363'],77.68321513002363,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,105.90355864726934,['95.41371158392437'],95.41371158392435,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,111.9420621307414,['84.79388297872339'],84.79388297872339,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,112.02478135654238,['74.63578605200945'],74.63578605200945,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,111.8593429049404,['92.55097517730496'],92.55097517730496,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,114.91995425957693,['80.3612588652482'],80.3612588652482,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,115.99530419498971,['82.5775709219858'],82.5775709219858,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,113.92732354996508,['92.27393617021275'],92.27393617021276,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,117.0,['102.75449101796409'],102.75449101796409,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,117.98056561421342,['91.44281914893617'],91.44281914893617,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,119.80038858183514,['83.5933806146572'],83.5933806146572,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,121.95108845266078,['90.61170212765956'],90.61170212765956,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,123.93634987188447,['82.5775709219858'],82.5775709219858,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,124.18450754928745,['81.83880023640663'],81.83880023640663,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
CeH9,127.0,['99.24151696606788'],99.24151696606788,0.0,expt,"['[10.1103/PhysRevLett.127.117001,10.1063/1.5130583]']"
