formula,pressure,Tc_list,Tc_mean,Tc_std,method,ref
NaH7,300.0,"[199.0, 157.0, 198.0, 167.0]",180.25,18.59267328815305,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
AuHPd3,0.0,['0.0'],0.0,0.0,comput,['[10.1038/s41524-022-00817-4]']
SnHCo3,0.0,['0.0'],0.0,0.0,comput,['[10.1038/s41524-022-00817-4]']
SbH,215.0,['10.5'],10.5,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
SbH,255.0,['8.5'],8.5,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
SbH,295.0,['6.8'],6.8,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
SbH,175.0,['14.6'],14.6,0.0,comput,['[10.1021/acs.chemmater.5b04638]']
PrH10,400.0,[1.4],1.4,0.0,comput,['[10.1103/PhysRevB.102.144524]']
YMgH6,120.0,[31.0],31.0,0.0,comput,['[10.1002/adts.202100364]']
YMgH6,300.0,[75.0],75.0,0.0,comput,['[10.1002/adts.202100364]']
ScH3,135.0,"[1e-05, 1e-05]",1e-05,0.0,comput,"['[10.1103/PhysRevB.96.144108,10.1021/jp512538e]', '[10.1103/PhysRevB.96.144108,10.1021/jp512538e]']"
InH5,200.0,[40.5],40.5,0.0,comput,['[10.1021/acs.inorgchem.5b01684]']
InH5,150.0,[27.0],27.0,0.0,comput,['[10.1021/acs.inorgchem.5b01684]']
LaYH12,200.0,"[140.55, 130.61]",135.58,4.969999999999999,comput,"['[10.1021/acs.chemmater.1c02371]', '[10.1021/acs.chemmater.1c02371]']"
LaYH12,250.0,"[128.42, 117.96]",123.19,5.229999999999997,comput,"['[10.1021/acs.chemmater.1c02371]', '[10.1021/acs.chemmater.1c02371]']"
TcH3,300.0,"[9.94, 6.74]",8.34,1.5999999999999996,comput,"['[10.1039/C6CP05702K]', '[10.1039/C6CP05702K]']"
BeCH4,5.0,['6.0'],6.0,0.0,comput,['[10.1039/c9cp06008a]']
BeCH4,40.0,['18.1'],18.1,0.0,comput,['[10.1039/c9cp06008a]']
BeCH4,80.0,['28.9'],28.9,0.0,comput,['[10.1039/c9cp06008a]']
BeCH4,20.0,['13.3'],13.3,0.0,comput,['[10.1039/c9cp06008a]']
BeCH4,60.0,['8.5'],8.5,0.0,comput,['[10.1039/c9cp06008a]']
GeH4,280.0,"[67.0, 56.0]",61.5,5.5,comput,"['[10.1103/PhysRevB.95.134506]', '[10.1103/PhysRevB.95.134506]']"
GeH4,250.0,[57.0],57.0,0.0,comput,['[10.1039/c5cp03807c]']
GeH4,500.0,[84.0],84.0,0.0,comput,['[10.1039/c5cp03807c]']
GeH4,300.0,"[63.0, 52.0]",57.5,5.5,comput,"['[10.1103/PhysRevB.95.134506]', '[10.1103/PhysRevB.95.134506]']"
WHCo3,0.0,['0.19'],0.19,0.0,comput,['[10.1038/s41524-022-00817-4]']
LiMgH16,300.0,[178.0],178.0,0.0,comput,['[10.1103/PhysRevLett.123.097001]']
AuHZr3,0.0,['7.21'],7.21,0.0,comput,['[10.1038/s41524-022-00817-4]']
Fe2SH3,173.0,['0.3'],0.3,0.0,comput,['[10.1021/acs.inorgchem.6b01949]']
AlHNi3,0.0,['0.0'],0.0,0.0,comput,['[10.1038/s41524-022-00817-4]']
LiHPd3,0.0,['0.05'],0.05,0.0,comput,['[10.1038/s41524-022-00817-4]']
MnHBe3,0.0,['0.63'],0.63,0.0,comput,['[10.1038/s41524-022-00817-4]']
KYH14,300.0,['167.1'],167.1,0.0,comput,['[10.1016/j.physleta.2021.127750]']
CuHZr3,0.0,['8.09'],8.09,0.0,comput,['[10.1038/s41524-022-00817-4]']
BiH2,200.0,[60.0],60.0,0.0,comput,['[arXiv:1511.05291]']
BiH2,250.0,[63.0],63.0,0.0,comput,['[arXiv:1511.05291]']
BiH2,300.0,[65.0],65.0,0.0,comput,['[arXiv:1511.05291]']
BiH2,150.0,[59.0],59.0,0.0,comput,['[arXiv:1511.05291]']
GeHLi3,0.0,['2.22'],2.22,0.0,comput,['[10.1038/s41524-022-00817-4]']
AuHTi3,0.0,['7.6'],7.6,0.0,comput,['[10.1038/s41524-022-00817-4]']
PdHBe3,0.0,['17.26'],17.26,0.0,comput,['[10.1038/s41524-022-00817-4]']
SnHPd3,0.0,['0.26'],0.26,0.0,comput,['[10.1038/s41524-022-00817-4]']
NaHZr3,0.0,['6.18'],6.18,0.0,comput,['[10.1038/s41524-022-00817-4]']
BiHLi3,0.0,['2.77'],2.77,0.0,comput,['[10.1038/s41524-022-00817-4]']
GaHTi3,0.0,['4.25'],4.25,0.0,comput,['[10.1038/s41524-022-00817-4]']
LiYH8,200.0,['90'],90.0,0.0,comput,['[10.1039/D2CP00059H]']
LiYH8,300.0,['82'],82.0,0.0,comput,['[10.1039/D2CP00059H]']
HSe2,300.0,[5.0],5.0,0.0,comput,['[10.1038/srep15433]']
SnH12,250.0,[93.0],93.0,0.0,comput,['[10.1038/srep22873]']
SiHCo3,0.0,['0.01'],0.01,0.0,comput,['[10.1038/s41524-022-00817-4]']
LiPH4,150.0,"[0.05, 1e-05]",0.025005000000000003,0.024995000000000003,comput,"['[10.1038/s41524-019-0244-6]', '[10.1038/s41524-019-0244-6]']"
GeHV3,0.0,['4.13'],4.13,0.0,comput,['[10.1038/s41524-022-00817-4]']
NbHRu3,0.0,['3.29'],3.29,0.0,comput,['[10.1038/s41524-022-00817-4]']
NbHRh3,0.0,['0.07'],0.07,0.0,comput,['[10.1038/s41524-022-00817-4]']
BiH,250.0,[30.0],30.0,0.0,comput,['[arXiv:1511.05291]']
BiH,300.0,[20.0],20.0,0.0,comput,['[arXiv:1511.05291]']
InHZr3,0.0,['2.84'],2.84,0.0,comput,['[10.1038/s41524-022-00817-4]']
AlHLi3,0.0,['6.32'],6.32,0.0,comput,['[10.1038/s41524-022-00817-4]']
GaHLi3,0.0,['6.19'],6.19,0.0,comput,['[10.1038/s41524-022-00817-4]']
MgSiH6,250.0,"[63.144, 53.65]",58.397,4.747,comput,"['[10.1103/PhysRevB.96.144518]', '[10.1103/PhysRevB.96.144518]']"
